origin,policy,Q,rotation,window,n32,mean,SE
i20_new,oracle_useful/r0p9/rec9,0,0.78539816339744828,transition,32,0.2695903855835905,0.005343297299801879
i20_new,oracle_useful/rstar/cp,0,0.78539816339744828,transition,32,0.20173391743046068,0.0081284838841924004
i20_new,oracle_useful/rstar/rec99,0,0.78539816339744828,transition,32,0.20173391743046065,0.00812848388419239
i20_new,oracle_useful/rstar/rec9,0,0.78539816339744828,transition,32,0.37352930774509091,0.0056210174461985268
i20_new,oracle_nuisance/r0p9/cp,0,0.78539816339744828,transition,32,0.22918896217059226,0.0060146865588755908
i20_new,oracle_nuisance/r0p9/rec99,0,0.78539816339744828,transition,32,0.22918896217059254,0.0060146865588756116
i20_new,oracle_nuisance/r0p9/rec9,0,0.78539816339744828,transition,32,0.2695903855835905,0.005343297299801879
i20_new,oracle_nuisance/rstar/cp,0,0.78539816339744828,transition,32,0.64829602191084656,0.008859261223601313
i20_new,oracle_nuisance/rstar/rec99,0,0.78539816339744828,transition,32,0.64829602191084645,0.0088592612236013096
i20_new,oracle_nuisance/rstar/rec9,0,0.78539816339744828,transition,32,0.68869744532384436,0.0082830348533135343
i20_new,native/r0p9/cp,0,0.78539816339744828,late,32,0.21741147580349932,0.0022493162934931043
i20_new,native/r0p9/rec99,0,0.78539816339744828,late,32,0.21759163160885059,0.0022562924110514052
i20_new,native/r0p9/rec9,0,0.78539816339744828,late,32,0.26474327926233315,0.0023518050102707445
i20_new,native/rstar/cp,0,0.78539816339744828,late,32,0.63807602672284103,0.0043319041770248749
i20_new,native/rstar/rec99,0,0.78539816339744828,late,32,0.63865585935968783,0.0043137081086456509
i20_new,native/rstar/rec9,0,0.78539816339744828,late,32,0.68545462832207327,0.0043473305158665551
i20_new,full_legacy/r0p9/cp,0,0.78539816339744828,late,32,0.21763775308148967,0.0022511292151786394
i20_new,full_legacy/r0p9/rec99,0,0.78539816339744828,late,32,0.21797189139466611,0.0022602627985525785
i20_new,full_legacy/r0p9/rec9,0,0.78539816339744828,late,32,0.26474327926233315,0.0023518050102707445
i20_new,full_legacy/rstar/cp,0,0.78539816339744828,late,32,0.63883142767290946,0.004329634587237949
i20_new,full_legacy/rstar/rec99,0,0.78539816339744828,late,32,0.63990793526816403,0.0043024404349807878
i20_new,full_legacy/rstar/rec9,0,0.78539816339744828,late,32,0.68602292529169606,0.0043421231233416648
i20_new,ew99/r0p9/cp,0,0.78539816339744828,late,32,0.21763777229691691,0.002251129796292585
i20_new,ew99/r0p9/rec99,0,0.78539816339744828,late,32,0.21797192467996679,0.0022602585844703187
i20_new,ew99/r0p9/rec9,0,0.78539816339744828,late,32,0.26474327926233315,0.0023518050102707445
i20_new,ew99/rstar/cp,0,0.78539816339744828,late,32,0.63883145128675078,0.004329640044242542
i20_new,ew99/rstar/rec99,0,0.78539816339744828,late,32,0.63990794850785337,0.0043024411250482042
i20_new,ew99/rstar/rec9,0,0.78539816339744828,late,32,0.68602293041688533,0.0043421276959553778
i20_new,ew999/r0p9/cp,0,0.78539816339744828,late,32,0.21675266956181261,0.0022472701753536444
i20_new,ew999/r0p9/rec99,0,0.78539816339744828,late,32,0.2167520104242284,0.0022474891003297017
i20_new,ew999/r0p9/rec9,0,0.78539816339744828,late,32,0.26474327926233315,0.0023518050102707445
i20_new,ew999/rstar/cp,0,0.78539816339744828,late,32,0.63600977509899448,0.0043298506175779026
i20_new,ew999/rstar/rec99,0,0.78539816339744828,late,32,0.63600787393365288,0.0043261445513252368
i20_new,ew999/rstar/rec9,0,0.78539816339744828,late,32,0.68399864305245117,0.0043566283672597803
i20_new,oracle_useful/r0p9/cp,0,0.78539816339744828,late,32,0.072947209022407922,0.0011106440788712468
i20_new,oracle_useful/r0p9/rec99,0,0.78539816339744828,late,32,0.072947209022407838,0.0011106440788712453
i20_new,oracle_useful/r0p9/rec9,0,0.78539816339744828,late,32,0.26474327926233315,0.0023518050102707445
i20_new,oracle_useful/rstar/cp,0,0.78539816339744828,late,32,0.17717479475567216,0.0016262272193152058
i20_new,oracle_useful/rstar/rec99,0,0.78539816339744828,late,32,0.17717479475567216,0.0016262272193152056
i20_new,oracle_useful/rstar/rec9,0,0.78539816339744828,late,32,0.36897086499559734,0.002446539662257548
