drift,rotation_index,window,policy,mean_mse,seed_standard_error,independent_seeds
0.0,1,late,ema_q0p99,0.02638028268828355,0.0008210113218887602,32
0.0,1,late,ema_q0p999,0.13861059213306942,0.03503692461592205,32
0.0,1,late,scalar_k0,0.02638028268828355,0.0008210113218887602,32
0.0,1,late,scalar_k0p5,0.49634008992008605,0.0021347119890753634,32
0.0,1,late,scalar_k0p9,0.4289272208524204,0.0025065901101570145,32
0.0,1,late,scalar_k1,0.26402020731913717,0.002107632031199673,32
0.0,1,late,oracle_useful,0.07289813317436572,0.0008412029025596943,32
0.0,1,late,oracle_nuisance,0.217502356833055,0.0021725473548199706,32
0.0,1,late,native_i17,0.21810051799526112,0.0021856343006621563,32
0.0,1,late,native_cp,0.21806668469711998,0.002187322074000654,32
0.01,0,startup,raw,4.932579650903242,0.08640357377813143,32
0.01,0,startup,ema_q0p9,0.5520362070434728,0.09042891126936045,32
0.01,0,startup,ema_q0p99,2.7595607001966753,0.7235515106301145,32
0.01,0,startup,ema_q0p999,5.776510826272573,1.5195215065536616,32
0.01,0,startup,ema_optimal_oracle,0.8266383451546395,0.20309430131945666,32
0.01,0,startup,scalar_k0,2.7595607001966753,0.7235515106301145,32
0.01,0,startup,scalar_k0p5,1.2268960510704536,0.19773720317439009,32
0.01,0,startup,scalar_k0p9,0.6227042016591735,0.06219664624476758,32
0.01,0,startup,scalar_k1,0.5520362070434728,0.09042891126936042,32
0.01,0,startup,oracle_useful,2.2726521546157885,0.6875118268325946,32
0.01,0,startup,oracle_nuisance,1.0389447526243596,0.15971180648476271,32
0.01,0,startup,native_i17,0.7030056872520383,0.12101327276664302,32
0.01,0,startup,native_cp,0.7066579806614989,0.12199786387500848,32
0.01,0,transition,raw,4.9805196392512485,0.03456548862080981,32
0.01,0,transition,ema_q0p9,0.2720331201504128,0.005426507475393619,32
0.01,0,transition,ema_q0p99,0.9872584310771905,0.022284507662943237,32
0.01,0,transition,ema_q0p999,21.265186240510317,1.0603282443618978,32
0.01,0,transition,ema_optimal_oracle,0.1598614425383224,0.004664771828126737,32
0.01,0,transition,scalar_k0,0.9872584310771904,0.022284507662943244,32
0.01,0,transition,scalar_k0p5,0.749328301041376,0.008410687618502987,32
0.01,0,transition,scalar_k0p9,0.45420939094737656,0.0061272208769132174,32
0.01,0,transition,scalar_k1,0.2720331201504128,0.005426507475393625,32
0.01,0,transition,oracle_useful,0.11659765853282804,0.01165041107496765,32
0.01,0,transition,oracle_nuisance,1.1426938926947754,0.015633401974817593,32
0.01,0,transition,native_i17,1.0637049639148284,0.011302698916720788,32
0.01,0,transition,native_cp,1.0902914035416233,0.011473078484291414,32
0.01,0,late,raw,4.992916351751697,0.02017208498020226,32
0.01,0,late,ema_q0p9,0.2725735299079352,0.0020908122526079563,32
0.01,0,late,ema_q0p99,1.0116049655262498,0.005070104202960454,32
0.01,0,late,ema_q0p999,79.15822191735116,0.3447454161728524,32
0.01,0,late,ema_optimal_oracle,0.16273248484102024,0.0018301791136352238,32
0.01,0,late,scalar_k0,1.0116049655262493,0.005070104202960439,32
0.01,0,late,scalar_k0p5,0.752027791945578,0.003517125995216784,32
0.01,0,late,scalar_k0p9,0.4496944697954862,0.0026014126590128755,32
0.01,0,late,scalar_k1,0.27257352990793526,0.0020908122526079624,32
0.01,0,late,oracle_useful,0.08145145576316377,0.0009133562715465286,32
0.01,0,late,oracle_nuisance,1.2027270396710215,0.005137231447897532,32
0.01,0,late,native_i17,1.132086845251491,0.005444545559430973,32
0.01,0,late,native_cp,1.1973656651503988,0.0052766333451635195,32
0.01,1,startup,raw,4.932579650903242,0.0864035737781314,32
0.01,1,startup,ema_q0p9,0.5520362070434727,0.09042891126936042,32
0.01,1,startup,ema_q0p99,2.759560700196676,0.723551510630115,32
0.01,1,startup,ema_q0p999,5.776510826272574,1.5195215065536616,32
0.01,1,startup,ema_optimal_oracle,0.8266383451546395,0.20309430131945663,32
0.01,1,startup,scalar_k0,2.759560700196676,0.723551510630115,32
0.01,1,startup,scalar_k0p5,1.226896051070454,0.1977372031743902,32
