process_variance,process_index,rotation_index,window,policy,policy_class,mean_mse,seed_standard_error,independent_seeds
0.01,1,0,whole,ema_q0p999,fixed_uniform_EMA,4.026037738709949,0.34237587290630955,32
0.01,1,0,whole,dema_q0p9,signed_uniform_DEMA,0.659703258026922,0.004756705599886935,32
0.01,1,0,whole,dema_q0p99,signed_uniform_DEMA,0.32452175180902615,0.009430272344906024,32
0.01,1,0,whole,dema_q0p999,signed_uniform_DEMA,2.154241446122928,0.12696739033634283,32
0.01,1,0,whole,ema_common_steady_oracle,model_based_common_control,0.230180054808181,0.004631730258740762,32
0.01,1,0,whole,common_kalman,model_based_common_control,0.22025435728612083,0.002863930217150043,32
0.01,1,0,whole,useful_oracle_kalman,generating_direction_oracle,0.10372049523513958,0.001489038029968002,32
0.01,1,0,whole,scalar_k0,scalar_mixture,0.5366601003408815,0.01900996758351292,32
0.01,1,0,whole,scalar_k0p5,scalar_mixture,0.6359027500649141,0.005289558595458224,32
0.01,1,0,whole,scalar_k0p9,scalar_mixture,0.46605710702388037,0.003216463986417559,32
0.01,1,0,whole,scalar_k1,scalar_mixture,0.3136647458606878,0.0032679447226637392,32
0.01,1,0,whole,oracle_useful,generating_direction_oracle,0.15984475664507608,0.014536444620012424,32
0.01,1,0,whole,oracle_nuisance,generating_direction_oracle,0.6904800895564933,0.014043991482964374,32
0.01,1,0,whole,native_i17,native_learned_direction,0.6691451311284053,0.013331999068099632,32
0.01,1,0,whole,native_cp,native_learned_direction,0.6697048388891671,0.013228858471117997,32
0.01,1,0,whole,native_cp_star,native_learned_direction,1.0798879295964747,0.012575980745691006,32
0.01,1,0,whole,oracle_useful_star,generating_direction_oracle,0.2317621201275718,0.014528317968525908,32
0.01,1,0,startup,raw,raw,4.9035316037743275,0.10024647159025608,32
0.01,1,0,startup,ema_q0p9,fixed_uniform_EMA,0.5256558984367192,0.061144961525572784,32
0.01,1,0,startup,ema_q0p99,fixed_uniform_EMA,2.4430670907417547,0.5083878568452559,32
0.01,1,0,startup,ema_q0p999,fixed_uniform_EMA,4.9856351151572245,1.0750023098915995,32
0.01,1,0,startup,dema_q0p9,signed_uniform_DEMA,0.7387538096365003,0.04265607158836198,32
0.01,1,0,startup,dema_q0p99,signed_uniform_DEMA,1.2901235983150756,0.25640552127873145,32
0.01,1,0,startup,dema_q0p999,signed_uniform_DEMA,4.534617509215934,0.9737835881624527,32
0.01,1,0,startup,ema_common_steady_oracle,model_based_common_control,0.75321354680237,0.134078312838714,32
0.01,1,0,startup,common_kalman,model_based_common_control,0.3561094158113885,0.026168774601169602,32
0.01,1,0,startup,useful_oracle_kalman,generating_direction_oracle,0.3069941635034825,0.026233378389195754,32
0.01,1,0,startup,scalar_k0,scalar_mixture,2.4430670907417547,0.5083878568452559,32
0.01,1,0,startup,scalar_k0p5,scalar_mixture,1.1535565858715655,0.13415326159262547,32
0.01,1,0,startup,scalar_k0p9,scalar_mixture,0.6030861017389919,0.043461481858617035,32
0.01,1,0,startup,scalar_k1,scalar_mixture,0.5256558984367192,0.061144961525572784,32
0.01,1,0,startup,oracle_useful,generating_direction_oracle,1.672896949841677,0.5073870998257972,32
0.01,1,0,startup,oracle_nuisance,generating_direction_oracle,1.295826039336797,0.15693764391478998,32
0.01,1,0,startup,native_i17,native_learned_direction,0.8346555400816359,0.09875679425639773,32
0.01,1,0,startup,native_cp,native_learned_direction,0.8407292851493493,0.09833008822103849,32
0.01,1,0,startup,native_cp_star,native_learned_direction,1.006215024879837,0.09337957123625956,32
0.01,1,0,startup,oracle_useful_star,generating_direction_oracle,1.6967712445984193,0.5084998634643837,32
0.01,1,0,transition,raw,raw,4.998497274609449,0.03378402254242505,32
0.01,1,0,transition,ema_q0p9,fixed_uniform_EMA,0.31434685491158054,0.005923581611621466,32
0.01,1,0,transition,ema_q0p99,fixed_uniform_EMA,0.5015709268367443,0.0319628521695445,32
0.01,1,0,transition,ema_q0p999,fixed_uniform_EMA,3.8960753184838053,0.6025505947834201,32
0.01,1,0,transition,dema_q0p9,signed_uniform_DEMA,0.6655160595461851,0.009813937011980607,32
0.01,1,0,transition,dema_q0p99,signed_uniform_DEMA,0.32499075444741266,0.01646037668456251,32
0.01,1,0,transition,dema_q0p999,signed_uniform_DEMA,2.1187229431182546,0.257334927296217,32
0.01,1,0,transition,ema_common_steady_oracle,model_based_common_control,0.22254051061081287,0.006704986178639853,32
0.01,1,0,transition,common_kalman,model_based_common_control,0.22254898062287679,0.006711223573120851,32
0.01,1,0,transition,useful_oracle_kalman,generating_direction_oracle,0.10685648390022252,0.0029287885588862176,32
0.01,1,0,transition,scalar_k0,scalar_mixture,0.5015709268367444,0.0319628521695445,32
0.01,1,0,transition,scalar_k0p5,scalar_mixture,0.6248970109310025,0.008753346411788333,32
0.01,1,0,transition,scalar_k0p9,scalar_mixture,0.4673833370569827,0.00619384871613618,32
0.01,1,0,transition,scalar_k1,scalar_mixture,0.31434685491158054,0.005923581611621464,32
0.01,1,0,transition,oracle_useful,generating_direction_oracle,0.14255146459695034,0.00832856135169253,32
0.01,1,0,transition,oracle_nuisance,generating_direction_oracle,0.6733663171513746,0.033790725638328564,32
0.01,1,0,transition,native_i17,native_learned_direction,0.6408219496969032,0.033043047880144914,32
0.01,1,0,transition,native_cp,native_learned_direction,0.6424085248742823,0.03331587315533652,32
0.01,1,0,transition,native_cp_star,native_learned_direction,1.0468184930114108,0.0332963665730478,32
0.01,1,0,transition,oracle_useful_star,generating_direction_oracle,0.2140805154209153,0.008262997138189813,32
0.01,1,0,late,raw,raw,5.008882556616911,0.017551022144278318,32
0.01,1,0,late,ema_q0p9,fixed_uniform_EMA,0.30639374139288555,0.0025548103679456898,32
0.01,1,0,late,ema_q0p99,fixed_uniform_EMA,0.48363995271209353,0.01628262436103869,32
0.01,1,0,late,ema_q0p999,fixed_uniform_EMA,4.033039885562883,0.4481725545125433,32
0.01,1,0,late,dema_q0p9,signed_uniform_DEMA,0.6553243991841571,0.0047043368823302106,32
0.01,1,0,late,dema_q0p99,signed_uniform_DEMA,0.2921943228006419,0.00544058507946747,32
0.01,1,0,late,dema_q0p999,signed_uniform_DEMA,2.085551128254563,0.14053650244520274,32
0.01,1,0,late,ema_common_steady_oracle,model_based_common_control,0.2150374683342518,0.002833310483546602,32
0.01,1,0,late,common_kalman,model_based_common_control,0.2150374683342518,0.0028333104835465985,32
0.01,1,0,late,useful_oracle_kalman,generating_direction_oracle,0.0960039096933366,0.0015458443826998252,32
0.01,1,0,late,scalar_k0,scalar_mixture,0.48363995271209353,0.016282624361038688,32
0.01,1,0,late,scalar_k0p5,scalar_mixture,0.6219493439448658,0.004620920894007235,32
0.01,1,0,late,scalar_k0p9,scalar_mixture,0.4610916048567793,0.003036997463859664,32
0.01,1,0,late,scalar_k1,scalar_mixture,0.30639374139288555,0.0025548103679456885,32
0.01,1,0,late,oracle_useful,generating_direction_oracle,0.1145976711529604,0.001657247062020548,32
0.01,1,0,late,oracle_nuisance,generating_direction_oracle,0.6754360229520187,0.016189266856503928,32
0.01,1,0,late,native_i17,native_learned_direction,0.6721250719260816,0.01598366215673256,32
0.01,1,0,late,native_cp,native_learned_direction,0.672192918218293,0.016050469670460157,32
0.01,1,0,late,native_cp_star,native_learned_direction,1.0922645240625481,0.01578970124202276,32
0.01,1,0,late,oracle_useful_star,generating_direction_oracle,0.18823296405720719,0.001723935547876215,32
0.01,1,1,whole,raw,raw,5.003912094344168,0.014483744606845856,32
